INFO:root:[14:20:12]:  User A, Process 2 started
INFO:root:[14:20:16]:  User A, Process 2 pausing
INFO:root:[14:20:16]:  User A, Process 2 running
INFO:root:[14:20:17]:  User A, Process 2 finished
INFO:root:[14:20:17]:  User A, Process 1 started
INFO:root:[14:20:18]:  User A, Process 1 pausing
INFO:root:[14:20:18]:  User B, Process 1 started
INFO:root:[14:20:20]:  User B, Process 1 pausing
INFO:root:[14:20:20]:  User A, Process 1 running
INFO:root:[14:20:22]:  User A, Process 1 finished
INFO:root:[14:20:22]:  User B, Process 1 running
INFO:root:[14:20:24]:  User B, Process 1 pausing
INFO:root:[14:20:24]:  User B, Process 1 running
INFO:root:[14:20:26]:  User B, Process 1 finished
